,Job_Type,Location
0,Data Scientist,MO
1,Data Scientist,TX
2,Data Scientist,OR
3,Data Scientist,DC
4,Data Scientist,TX
5,Data Scientist,MD
6,Data Scientist,NY
7,Data Scientist,GA
8,Data Scientist,ID
9,Data Scientist,MO
10,Data Scientist,PA
11,Data Scientist,PA
12,Data Scientist,TX
13,Data Scientist,GA
14,Data Scientist,GA
15,Data Scientist,FL
16,Data Scientist,MA
17,Data Scientist,VA
18,Data Scientist,NJ
19,Data Scientist,MA
20,Data Scientist,LA
21,Data Scientist,MO
22,Data Scientist,MO
23,Data Scientist,NY
24,Data Scientist,GA
25,Data Scientist,VA
26,Data Scientist,LA
27,Data Scientist,NY
28,Data Scientist,MA
29,Data Scientist,CA
30,Data Scientist,CA
31,Data Scientist,GA
32,Data Scientist,CA
33,Data Scientist,MN
34,Data Scientist,WA
35,Data Scientist,CA
36,Data Scientist,TX
37,Data Scientist,WA
38,Data Scientist,NC
39,Data Scientist,NC
40,Data Scientist,IL
41,Data Scientist,CA
42,Data Scientist,CA
43,Data Scientist,NY
44,Data Scientist,CO
45,Data Scientist,UT
46,Data Scientist,OH
47,Data Scientist,CA
48,Data Scientist,USA
49,Data Scientist,OR
50,Data Scientist,WA
51,Data Scientist,TX
52,Data Scientist,OH
53,Data Scientist,FL
54,Data Scientist,IL
55,Data Scientist,AR
56,Data Scientist,VA
57,Data Scientist,WA
58,Data Scientist,TX
59,Data Scientist,VA
60,Data Scientist,PA
61,Data Scientist,MO
62,Data Scientist,NC
63,Data Scientist,ME
64,Data Scientist,CA
65,Data Scientist,IL
66,Data Scientist,NV
67,Data Scientist,CT
68,Data Scientist,WA
69,Data Scientist,REMOTE
70,Data Scientist,RI
71,Data Scientist,PA
72,Data Scientist,NY
73,Data Scientist,NY
74,Data Scientist,VA
75,Data Scientist,FL
76,Data Scientist,TN
77,Data Scientist,FL
78,Data Scientist,NY
79,Data Scientist,MA
80,Data Scientist,TX
81,Data Scientist,WA
82,Data Scientist,WI
83,Data Scientist,DC
84,Data Scientist,SC
85,Data Scientist,DC
86,Data Scientist,MO
87,Data Scientist,IL
88,Data Scientist,CA
89,Data Scientist,MA
90,Data Scientist,MI
91,Data Scientist,PA
92,Data Scientist,NY
93,Data Scientist,NY
94,Data Scientist,CA
95,Data Scientist,KY
96,Data Scientist,MA
97,Data Scientist,AZ
98,Data Scientist,NV
99,Data Scientist,FL
100,Data Scientist,WA
101,Data Scientist,GA
102,Data Scientist,PA
103,Data Scientist,MA
104,Data Scientist,VA
105,Data Scientist,IL
106,Data Scientist,UT
107,Data Scientist,NC
108,Data Scientist,NY
109,Data Scientist,MA
110,Data Scientist,DC
111,Data Scientist,CO
112,Data Scientist,NE
113,Data Scientist,TX
114,Data Scientist,FL
115,Data Scientist,NY
116,Data Scientist,MD
117,Data Scientist,IN
118,Data Scientist,USA
119,Data Scientist,MN
120,Data Scientist,TX
121,Data Scientist,MD
122,Data Scientist,CA
123,Data Scientist,PA
124,Data Scientist,PA
125,Data Scientist,PA
126,Data Scientist,AR
127,Data Scientist,CA
128,Data Scientist,TX
129,Data Scientist,MI
130,Data Scientist,WA
131,Data Scientist,NY
132,Data Scientist,MI
133,Data Scientist,PA
134,Data Scientist,FL
135,Data Scientist,VA
136,Data Scientist,MD
137,Data Scientist,PA
138,Data Scientist,OH
139,Data Scientist,TX
140,Data Scientist,CO
141,Data Scientist,MO
142,Data Scientist,CA
143,Data Scientist,MN
144,Data Scientist,MN
145,Data Scientist,TX
146,Data Scientist,CO
147,Data Scientist,USA
148,Data Scientist,FL
149,Data Scientist,TX
150,Data Scientist,NE
151,Data Scientist,TX
152,Data Scientist,MN
153,Data Scientist,GA
154,Data Scientist,VA
155,Data Scientist,CA
156,Data Scientist,VA
157,Data Scientist,MA
158,Data Scientist,CA
159,Data Scientist,NC
160,Data Scientist,CO
161,Data Scientist,WI
162,Data Scientist,USA
163,Data Scientist,MD
164,Data Scientist,CA
165,Data Scientist,NM
166,Data Scientist,GA
167,Data Scientist,GA
168,Data Scientist,TX
169,Data Scientist,TX
170,Data Scientist,FL
171,Data Scientist,AZ
172,Data Scientist,MI
173,Data Scientist,AZ
174,Data Scientist,OH
175,Data Scientist,VA
176,Data Scientist,CO
177,Data Scientist,CO
178,Data Scientist,NC
179,Data Scientist,NY
180,Data Scientist,GA
181,Data Scientist,CA
182,Data Scientist,OH
183,Data Scientist,OH
184,Data Scientist,TX
185,Data Scientist,VA
186,Data Scientist,GA
187,Data Scientist,TX
188,Data Scientist,VA
189,Data Scientist,IN
190,Data Scientist,IN
191,Data Scientist,IN
192,Data Scientist,AR
193,Data Scientist,MI
194,Data Scientist,MD
195,Data Scientist,TX
196,Data Scientist,NJ
197,Data Scientist,PA
198,Data Scientist,CO
199,Data Scientist,TN
200,Data Scientist,IL
201,Data Scientist,AL
202,Data Scientist,AL
203,Data Scientist,PA
204,Data Scientist,CA
205,Data Scientist,NC
206,Data Scientist,MD
207,Data Scientist,IL
208,Data Scientist,MD
209,Data Scientist,AZ
210,Data Scientist,CO
211,Data Scientist,CT
212,Data Scientist,CO
213,Data Scientist,MD
214,Data Scientist,VA
215,Data Scientist,NE
216,Data Scientist,NV
217,Data Scientist,VA
218,Data Scientist,MD
219,Data Scientist,WA
220,Data Scientist,MO
221,Data Scientist,CO
222,Data Scientist,CO
223,Data Scientist,CA
224,Data Scientist,AL
225,Data Scientist,VA
226,Data Scientist,NY
227,Data Scientist,TN
228,Data Scientist,AZ
229,Data Scientist,GA
230,Data Scientist,GA
231,Data Scientist,TX
232,Data Scientist,MD
233,Data Scientist,VA
234,Data Scientist,NY
235,Data Scientist,NY
236,Data Scientist,MA
237,Data Scientist,IL
238,Data Scientist,DC
239,Data Scientist,TX
240,Data Scientist,VA
241,Data Scientist,NV
242,Data Scientist,CA
243,Data Scientist,MA
244,Data Scientist,DC
245,Data Scientist,PA
246,Data Scientist,GA
247,Data Scientist,NV
248,Data Scientist,MD
249,Data Scientist,WA
250,Data Scientist,MO
251,Data Scientist,CA
252,Data Scientist,AZ
253,Data Scientist,VA
254,Data Scientist,CO
255,Data Scientist,VA
256,Data Scientist,NY
257,Data Scientist,MA
258,Data Scientist,CA
259,Data Scientist,TN
260,Data Scientist,PA
261,Data Scientist,GA
262,Data Scientist,IL
263,Data Scientist,VA
264,Data Scientist,CO
265,Data Scientist,NY
266,Data Scientist,MA
267,Data Scientist,CA
268,Data Scientist,TX
269,Data Scientist,CA
270,Data Scientist,NY
271,Data Scientist,MA
272,Data Scientist,CA
273,Data Scientist,VA
274,Data Scientist,MA
275,Data Scientist,NY
276,Data Scientist,OR
277,Data Scientist,IL
278,Data Scientist,CA
279,Data Scientist,VA
280,Data Scientist,GA
281,Data Scientist,FL
282,Data Scientist,KS
283,Data Scientist,CA
284,Data Scientist,MA
285,Data Scientist,TX
286,Data Scientist,OR
287,Data Scientist,WA
288,Data Scientist,MA
289,Data Scientist,OR
290,Data Scientist,MA
291,Data Scientist,TX
292,Data Scientist,AZ
293,Data Scientist,TX
294,Data Scientist,FL
295,Data Scientist,TX
296,Data Scientist,MA
297,Data Scientist,KS
298,Data Scientist,NJ
299,Data Scientist,NJ
300,Data Scientist,CA
301,Data Scientist,USA
302,Data Scientist,MI
303,Data Scientist,IN
304,Data Scientist,OR
305,Data Scientist,CA
306,Data Scientist,NJ
307,Data Scientist,USA
308,Data Scientist,CA
309,Data Scientist,TX
310,Data Scientist,MA
311,Data Scientist,WA
312,Data Scientist,CA
313,Data Scientist,CA
314,Data Scientist,VA
315,Data Scientist,GA
316,Data Scientist,TX
317,Data Scientist,WA
318,Data Scientist,WA
319,Data Scientist,IA
320,Data Scientist,KY
321,Data Scientist,FL
322,Data Scientist,AR
323,Data Scientist,GA
324,Data Scientist,TX
325,Data Scientist,CA
326,Data Scientist,CA
327,Data Scientist,CT
328,Data Scientist,MN
329,Data Scientist,GA
330,Data Scientist,GA
331,Data Scientist,IL
332,Data Scientist,FL
333,Data Scientist,MN
334,Data Scientist,SC
335,Data Scientist,GA
336,Data Scientist,REMOTE
337,Data Scientist,VA
338,Data Scientist,OH
339,Data Scientist,CA
340,Data Scientist,MI
341,Data Scientist,NC
342,Data Scientist,AR
343,Data Scientist,NE
344,Data Scientist,FL
345,Data Scientist,AR
346,Data Scientist,NY
347,Data Scientist,USA
348,Data Scientist,TX
349,Data Scientist,TX
350,Data Scientist,CA
351,Data Scientist,OH
352,Data Scientist,MI
353,Data Scientist,GA
354,Data Scientist,NY
355,Data Scientist,TX
356,Data Scientist,DC
357,Data Scientist,GA
358,Data Scientist,MD
359,Data Scientist,NE
360,Data Scientist,NY
361,Data Scientist,TX
362,Data Scientist,IL
363,Data Scientist,MD
364,Data Scientist,GA
365,Data Scientist,WA
366,Data Scientist,CA
367,Data Scientist,IA
368,Data Scientist,MA
369,Data Scientist,PA
370,Data Scientist,MN
371,Data Scientist,MO
372,Data Scientist,CA
373,Data Scientist,CO
374,Data Scientist,OH
375,Data Scientist,CA
376,Data Scientist,MO
377,Data Scientist,IL
378,Data Scientist,MI
379,Data Scientist,KS
380,Data Scientist,MA
381,Data Scientist,GA
382,Data Scientist,FL
383,Data Scientist,VA
384,Data Scientist,WA
385,Data Scientist,IL
386,Data Scientist,WA
387,Data Scientist,NJ
388,Data Scientist,CA
389,Data Scientist,CA
390,Data Scientist,MN
391,Data Scientist,MN
392,Data Scientist,NY
393,Data Scientist,MI
394,Data Scientist,WI
395,Data Scientist,VA
396,Data Scientist,VA
397,Data Scientist,VA
398,Data Scientist,MA
399,Data Scientist,VA
400,Data Scientist,CA
401,Data Scientist,MN
402,Data Scientist,NY
403,Data Scientist,WA
404,Data Scientist,CA
405,Data Scientist,MD
406,Data Scientist,IL
407,Data Scientist,OH
408,Data Scientist,NC
409,Data Scientist,IL
410,Data Scientist,IL
411,Data Scientist,DE
412,Data Scientist,MO
413,Data Scientist,CO
414,Data Scientist,TX
415,Data Scientist,CT
416,Data Scientist,WA
417,Data Scientist,IN
418,Data Scientist,VA
419,Data Scientist,WA
420,Data Scientist,WA
421,Data Scientist,TX
422,Data Scientist,MA
423,Data Scientist,VA
424,Data Scientist,VA
425,Data Scientist,GA
426,Data Scientist,IL
427,Data Scientist,NC
428,Data Scientist,IL
429,Data Scientist,TX
430,Data Scientist,OH
431,Data Scientist,MA
433,Data Scientist,IL
434,Data Scientist,WA
435,Data Scientist,CA
436,Data Scientist,NY
437,Data Scientist,GA
438,Data Scientist,VA
439,Data Scientist,AZ
440,Data Scientist,AZ
441,Data Scientist,CA
442,Data Scientist,CA
443,Data Scientist,CO
444,Data Scientist,AR
445,Data Scientist,DC
446,Data Scientist,CA
447,Data Scientist,OR
448,Data Scientist,VA
449,Data Scientist,IL
450,Data Scientist,TX
451,Data Scientist,SC
452,Data Scientist,IL
453,Data Scientist,CA
454,Data Scientist,IL
455,Data Scientist,NJ
456,Data Scientist,USA
457,Data Scientist,VA
458,Data Scientist,CA
459,Data Scientist,AZ
460,Data Scientist,VA
461,Data Scientist,CA
462,Data Scientist,VA
463,Data Scientist,HI
464,Data Scientist,USA
465,Data Scientist,CA
466,Data Scientist,NV
467,Data Scientist,TX
468,Data Scientist,NJ
469,Data Scientist,NJ
470,Data Scientist,FL
471,Data Scientist,CA
472,Data Scientist,TX
473,Data Scientist,CA
474,Data Scientist,VA
475,Data Scientist,MA
476,Data Scientist,IL
477,Data Scientist,CO
478,Data Scientist,HI
479,Data Scientist,WA
480,Data Scientist,CA
481,Data Scientist,MI
482,Data Scientist,NY
483,Data Scientist,VA
484,Data Scientist,MI
485,Data Scientist,MI
486,Data Scientist,TX
487,Data Scientist,VA
488,Data Scientist,VA
489,Data Scientist,IN
490,Data Scientist,WA
491,Data Scientist,MO
492,Data Scientist,TX
493,Data Scientist,IL
494,Data Scientist,ME
495,Data Scientist,MA
496,Data Scientist,CO
497,Data Scientist,CA
498,Data Scientist,TX
499,Data Scientist,CA
500,Data Scientist,VA
501,Data Scientist,NC
502,Data Scientist,TX
503,Data Scientist,TX
504,Data Scientist,WI
505,Data Scientist,MO
506,Data Scientist,CA
507,Data Scientist,NC
